client_id,round_number,hierarchy,num_samples,set,accuracy,loss
THE_FIRST_PART_OF_HENRY_THE_SIXTH_SHEPHERD,1,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",872,test,0.23529411764705882,2.663590669631958
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_GADS,1,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",1872,test,0.29914529914529914,2.537182092666626
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_LADY,1,"T,H,E, ,L,I,F,E, ,O,F, ,T,I,M,O,N, ,O,F, ,A,T,H,E,N,S",1755,test,0.22857142857142856,2.58370041847229
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_PANDARUS,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",16364,test,0.289272030651341,2.449357271194458
THE_LIFE_OF_KING_HENRY_THE_FIFTH_KING,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",4341,test,0.2699724517906336,2.583993673324585
THE_LIFE_OF_KING_HENRY_THE_FIFTH_KING_HENRY,1,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",40679,test,0.30572929697272955,2.4262535572052
THE_LIFE_OF_TIMON_OF_ATHENS_LUCULLUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",970,test,0.34615384615384615,2.1169989109039307
THE_MERRY_WIVES_OF_WINDSOR_FALSTAFF,1,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",13114,test,0.29250604351329573,2.5209991931915283
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_SIMPCOX,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",829,test,0.08333333333333333,3.4192354679107666
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_WARWICK,1,"T,H,E, ,T,W,O, ,G,E,N,T,L,E,M,E,N, ,O,F, ,V,E,R,O,N,A",5681,test,0.24346076458752516,2.6071879863739014
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_FATHER,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",1002,test,0.36666666666666664,2.320108652114868
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_CLOWN,1,"T,H,E, ,L,I,F,E, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,I,F,T,H",1111,test,0.25,3.1026642322540283
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,T,I,T,U,S, ,A,N,D,R,O,N,I,C,U,S",1124,test,0.19047619047619047,2.7579731941223145
THE_TRAGEDY_OF_CORIOLANUS_COMINIUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",10502,test,0.2836734693877551,2.503478527069092
THE_TRAGEDY_OF_CORIOLANUS_LARTIUS,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",2101,test,0.2733812949640288,2.5631279945373535
THE_TRAGEDY_OF_CORIOLANUS_ROMAN,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",1083,test,0.2631578947368421,2.560483932495117
THE_TRAGEDY_OF_JULIUS_CAESAR_OCTAVIUS,1,"M,U,C,H, ,A,D,O, ,A,B,O,U,T, ,N,O,T,H,I,N,G",1747,test,0.25,2.4442689418792725
THE_TRAGEDY_OF_KING_LEAR_EDM,1,"T,H,E, ,T,H,I,R,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",12976,test,0.2844335778321108,2.5058817863464355
THE_TRAGEDY_OF_KING_LEAR_GON,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",7966,test,0.27823691460055094,2.606693983078003
THE_TRAGEDY_OF_MACBETH_HECATE,1,"K,I,N,G, ,R,I,C,H,A,R,D, ,I,I,I",1330,test,0.24193548387096775,2.8277814388275146
THE_TRAGEDY_OF_MACBETH_SIWARD,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",968,test,0.23076923076923078,2.72633957862854
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_LODOVICO,1,"S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,I,V",2742,test,0.28921568627450983,2.4426352977752686
THE_TRAGEDY_OF_TITUS_ANDRONICUS_LUCIUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",7929,test,0.296398891966759,2.441584348678589
THE_TWO_GENTLEMEN_OF_VERONA_DUKE,1,"T,H,E, ,T,W,O, ,G,E,N,T,L,E,M,E,N, ,O,F, ,V,E,R,O,N,A",8134,test,0.2934051144010767,2.469251871109009
THE_TWO_GENTLEMEN_OF_VERONA_THURIO,1,"A,S, ,Y,O,U, ,L,I,K,E, ,I,T",1908,test,0.31666666666666665,2.2923600673675537
THE_WINTER_S_TALE_PERDITA,1,"T,H,E, ,L,I,F,E, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,I,F,T,H",5085,test,0.3036529680365297,2.4615838527679443
THE_WINTER_S_TALE_POLIXENES,1,"T,H,E, ,M,E,R,R,Y, ,W,I,V,E,S, ,O,F, ,W,I,N,D,S,O,R",11745,test,0.2898550724637681,2.46488618850708
ALLS_WELL_THAT_ENDS_WELL_STEWARD,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",1706,train,0.33872976338729766,2.329090118408203
AS_YOU_LIKE_IT_DUKE_SENIOR,2,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",5091,train,0.3479475607135182,2.3124070167541504
KING_HENRY_THE_EIGHTH_LOVELL,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",2510,train,0.3660944206008584,2.3083338737487793
KING_HENRY_THE_EIGHTH_OLD_LADY,2,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",2470,train,0.35701830863121187,2.3114824295043945
KING_HENRY_THE_EIGHTH_THIRD_GENTLEMAN,2,"M,E,A,S,U,R,E, ,F,O,R, ,M,E,A,S,U,R,E",2110,train,0.3538071065989848,2.330143451690674
KING_RICHARD_III_RATCLIFF,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",1450,train,0.34156976744186046,2.428083658218384
MEASURE_FOR_MEASURE_LUCIO,2,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",12244,train,0.342560865644725,2.3664958477020264
MUCH_ADO_ABOUT_NOTHING_ANT,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",1834,train,0.35212085996513653,2.292431592941284
SECOND_PART_OF_KING_HENRY_IV_DAVY,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,O,T,H,E,L,L,O,,, ,M,O,O,R, ,O,F, ,V,E,N,I,C,E",1426,train,0.33677991137370755,2.3463146686553955
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BASTARD,2,"T,H,E, ,H,I,S,T,O,R,Y, ,O,F, ,T,R,O,I,L,U,S, ,A,N,D, ,C,R,E,S,S,I,D,A",1216,train,0.35107296137339056,2.2968201637268066
THE_FIRST_PART_OF_HENRY_THE_SIXTH_JOHN,2,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",1845,train,0.3489312536106297,2.2567639350891113
